Species	Site	Tree	Fruit	Head_Length_mm	Head_Width_mm	Thorax_Length_mm	Thorax_Width_mm	Abdomen_Length_mm	Abdomen_Width_mm	Ovipositor_Length_mm	Ovipositor_Width_mm	Forewing_Area_mm^2	Hindwing_Area_mm^2	Forewing_Length_mm
SO2	S70	T201	F8	0.363	0.465	0.674	0.369	0.913	0.562	2.837	0.029	0.698	0.105	1.462
Het2	S70	T201	F5	0.440	0.543	0.636	0.422	1.072	0.508	0.595	0.045	0.673	0.221	1.581
LO1	S70	T56	F1	0.426	0.579	0.978	0.494	1.343	0.771	6.038	0.030	1.180	0.255	2.022
Het1	S70	T56	F1	0.600	0.688	0.907	0.634	1.512	0.591	0.385	0.069	1.482	0.429	2.243
SO1	S70	T56	F2	0.349	0.497	0.683	0.356	0.948	0.542	3.133	0.028	0.781	0.098	1.587
SO2	S70	T58	F6	0.336	0.459	0.641	0.380	0.872	0.512	2.883	0.026	0.713	0.104	1.531
LO1	S70	T58	F6	0.384	0.495	0.780	0.422	1.027	0.549	5.497	0.028	0.872	0.147	1.736
Het1	S70	T58	F6	0.528	0.645	0.807	0.437	1.197	0.517	0.360	0.082	0.946	0.313	1.901
Het2	S70	T58	F6	0.522	0.570	0.727	0.435	1.074	0.547	0.630	0.042	0.768	0.249	1.679
SO1	S70	T58	F7	0.359	0.471	0.633	0.332	0.918	0.553	3.000	0.028	0.680	0.107	1.476
LO1	S70	T38	F11	0.379	0.504	0.837	0.450	1.132	0.611	5.587	0.027	0.877	0.150	1.739
SO2	S70	T38	F11	0.335	0.467	0.569	0.402	0.922	0.536	2.668	0.022	0.628	0.079	1.458
SO1	S70	T38	F14	0.349	0.479	0.636	0.346	0.910	0.486	3.027	0.023	0.698	0.097	1.506
Het2	S70	T38	F5	0.520	0.593	0.780	0.473	1.189	0.542	0.710	0.070	0.883	0.285	1.823
Het1	S70	T38	F1	0.371	0.483	0.523	0.357	0.881	0.340	0.264	0.054	1.208	0.329	1.999
LO1	S96	T34	F7	0.311	0.385	0.872	0.454	1.221	0.746	5.882	0.030	1.010	0.224	1.957
SO2	S96	T34	F7	0.383	0.516	0.763	0.431	0.914	0.626	3.063	0.030	0.888	0.139	1.700
Het1	S96	T34	F6	0.520	0.631	0.816	0.519	1.235	0.528	0.381	0.080	1.073	0.271	1.938
SO1	S96	T34	F6	0.374	0.507	0.641	0.429	1.049	0.633	3.178	0.024	0.731	0.105	1.493
Het2	S96	T34	F1	0.525	0.608	0.793	0.467	1.262	0.697	0.712	0.051	1.243	0.463	1.821
LO1	S96	T36	F1	0.345	0.425	0.651	0.351	0.868	0.505	4.755	0.025	0.610	0.125	1.430
SO1	S96	T36	F1	0.344	0.493	0.658	0.439	1.090	0.594	3.133	0.021	0.764	0.108	1.541
Het2	S96	T36	F1	0.445	0.530	0.626	0.393	1.029	0.464	0.565	0.053	0.664	0.214	1.547
SO2	S96	T36	F2	0.316	0.420	0.585	0.341	0.853	0.378	2.639	0.024	0.636	0.092	1.378
Het1	S96	T36	F3	0.501	0.603	0.739	0.490	1.087	0.410	0.360	0.060	0.883	0.263	1.700
LO1	S113	T01	F2	0.395	0.514	0.885	0.478	1.240	0.620	5.513	0.023	0.889	0.187	1.752
SO1	S113	T01	F4	0.362	0.503	0.698	0.363	1.017	0.471	3.210	0.024	0.677	0.090	1.510
LO1	S113	T4M	F5	0.425	0.508	0.830	0.448	1.073	0.555	5.506	0.024	0.879	0.176	1.720
LO1	S113	T4M	F20	0.396	0.524	0.837	0.444	1.041	0.537	5.544	0.028	0.836	0.182	1.739
